dataset,modal,loader,sample_id,natoms,num_edges,num_pairs,avg_neighbors_directed,pair_reuse_factor,reverse_pair_fraction,baseline_edge_embedding_evals,pair_edge_embedding_evals,baseline_weight_nn_rows_total,pair_weight_nn_rows_total,baseline_tp_rows_total,pair_tp_rows_total,baseline_scatter_rows_total,pair_scatter_rows_total,baseline_cold_ms,pair_cold_ms,baseline_steady_median_ms,pair_steady_median_ms,baseline_steady_p95_ms,pair_steady_p95_ms,steady_speedup_baseline_over_pair,cold_ratio_pair_over_baseline,max_abs_force_diff_vs_baseline,abs_energy_diff_vs_baseline
qm9_hf,qcml,qm9_like,0_3057,29,570,285,19.655172413793103,2.0,1.0,570,285,2850,1425,2850,2850,2850,2850,330.7601659325883,204.77692899294198,288.09449810069054,77.09701801650226,378.32259397255257,372.77042065979913,3.73677874336236,0.619110008049389,8.866190910339355e-07,0.0
rmd17,spice,colabfit,rmd17_azobenzene,24,366,183,15.25,2.0,1.0,366,183,1830,915,1830,1830,1830,1830,122.72181897424161,201.28245500382036,58.98523807991296,77.10730202961713,505.9911098447628,112.68491229275241,0.7649760337517265,1.6401521480550092,1.341104507446289e-06,0.0
iso17,spice,colabfit,iso17,19,340,170,17.894736842105264,2.0,1.0,340,170,1700,850,1700,1700,1700,1700,122.20169499050826,200.17827209085226,58.84054594207555,80.55350091308355,146.01852393243462,114.26849995041266,0.7304529942846796,1.6380973447741511,1.6689300537109375e-06,0.0
md22_at_at,spice,colabfit,md22_AT-AT_12521,60,1312,656,21.866666666666667,2.0,1.0,1312,656,6560,3280,6560,6560,6560,6560,123.37636307347566,209.64498107787222,59.371065930463374,78.46063410397619,146.8309780349955,114.11918484373018,0.7566987777817946,1.6992313264496222,2.86102294921875e-06,0.0
md22_at_at_cg_cg,spice,colabfit,md22_AT-AT-CG-CG_3798,118,3740,1870,31.694915254237287,2.0,1.0,3740,1870,18700,9350,18700,18700,18700,18700,147.54625398200005,233.57630602549762,64.3123680492863,84.50543298386037,164.0363109181635,118.72879434376955,0.761044181166071,1.5830717468028217,2.384185791015625e-06,0.0
md22_ac_ala3_nhme,spice,colabfit,md22_Ac-Ala3-NHMe_4756,42,1142,571,27.19047619047619,2.0,1.0,1142,571,5710,2855,5710,5710,5710,5710,123.8450650125742,208.09442992322147,59.02938998769969,78.33799498621374,146.83469674782827,115.33297837013379,0.7535218382610882,1.680280355960032,2.086162567138672e-06,0.0
md22_dha,spice,colabfit,md22_DHA_45597,56,1406,703,25.107142857142858,2.0,1.0,1406,703,7030,3515,7030,7030,7030,7030,122.82786797732115,209.5007540192455,59.30872610770166,79.01060697622597,146.53461903799325,115.01621942734346,0.7506425830337876,1.705645123286904,1.430511474609375e-06,0.0
md22_double_walled_nanotube,spice,colabfit,md22_double-walled_nanotube_1987,370,24024,12012,64.92972972972973,2.0,1.0,24024,12012,120120,60060,120120,120120,120120,120120,427.0462990971282,667.675519012846,374.2289759684354,372.7173740044236,442.09053833037615,407.19744047382846,1.0040556251718866,1.5634733761291506,3.0994415283203125e-06,0.0
md22_stachyose,spice,colabfit,md22_stachyose_10546,87,3532,1766,40.59770114942529,2.0,1.0,3532,1766,17660,8830,17660,17660,17660,17660,144.7329269722104,230.1840209402144,61.893458012491465,81.53275400400162,161.3077703397721,117.75655242381617,0.7591238486737949,1.590405346976857,1.1920928955078125e-06,0.0
md22_buckyball_catcher,spice,colabfit,md22_buckyball-catcher_1114,148,6872,3436,46.432432432432435,2.0,1.0,6872,3436,34360,17180,34360,34360,34360,34360,192.33625591732562,294.71996100619435,111.86800606083125,109.34565006755292,207.45150522561744,155.62469940632582,1.0230677305564513,1.532316201126831,2.384185791015625e-06,0.0
ani1x,spice,colabfit,ani1x-release_416625,63,2008,1004,31.873015873015873,2.0,1.0,2008,1004,10040,5020,10040,10040,10040,10040,124.70466503873467,215.39381693582982,58.90822201035917,78.20304099004716,146.00834280718118,115.39499564096332,0.7532727789684851,1.727231430106693,1.430511474609375e-06,0.0
ani1ccx,spice,ani1ccx_h5,055:0,55,2042,1021,37.127272727272725,2.0,1.0,2042,1021,10210,5105,10210,10210,10210,10210,125.12166099622846,215.3414679924026,58.92091488931328,78.45716795418411,147.29089076863602,114.95707936119288,0.7509946691387174,1.7210566601964599,1.7881393432617188e-06,0.0
spice_2023,spice,colabfit,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,728,364,8.179775280898877,2.0,1.0,728,364,3640,1820,3640,3640,3640,3640,124.35521301813424,205.6710299802944,60.00803294591606,79.2992259375751,151.15795575547963,116.70663332333788,0.7567291135118367,1.6538995429994736,1.0728836059570312e-06,0.0
mptrj,mpa,nimashoghi,mp-1204603,444,27612,13806,62.189189189189186,2.0,1.0,27612,13806,138060,69030,138060,138060,138060,138060,481.69824201613665,734.6348509890959,431.2910840380937,429.29755605291575,495.5798579729162,461.03689577430487,1.0046436974938944,1.5250934857355904,2.3543834686279297e-06,0.0
wbm_initial,matpes_pbe,extxyz_file,wbm_initial:23057,100,2260,1130,22.6,2.0,1.0,2260,1130,11300,5650,11300,11300,11300,11300,128.33622901234776,218.41399499680847,59.08465792890638,78.9471990428865,148.45073310425505,115.80112798837945,0.7484072727749317,1.701888832776861,6.705522537231445e-07,0.0
phonondb_pbe,matpes_r2scan,extxyz_file,phonondb_pbe.extxyz:0,8,208,104,26.0,2.0,1.0,208,104,1040,520,1040,1040,1040,1040,138.0019059870392,199.02746297884732,58.900009957142174,77.59079500101507,146.89250148367137,113.14704272663221,0.7591107934436246,1.4422080735431255,1.2852251529693604e-07,0.0
omat24_1m_official,omat24,tar_aselmdb,train:106751,160,15224,7612,95.15,2.0,1.0,15224,7612,76120,38060,76120,76120,76120,76120,306.4868150977418,473.97138201631606,240.2182810474187,237.9160310374573,323.6658984795213,280.85830161580816,1.0096767334253276,1.546465814084569,0.000244140625,0.0
salex_train_official,omat24,tar_aselmdb,alex_go_aao_005:4493,132,9932,4966,75.24242424242425,2.0,1.0,9932,4966,49660,24830,49660,49660,49660,49660,234.23856706358492,362.14633705094457,160.21483298391104,157.3263769969344,251.2507626437582,203.54055082425475,1.0183596421789647,1.5460576863614377,2.0265579223632812e-06,6.103515625e-05
salex_val_official,omat24,tar_aselmdb,alex_go_aao_006:1039,128,13088,6544,102.25,2.0,1.0,13088,6544,65440,32720,65440,65440,65440,65440,278.9167918963358,430.36108394153416,208.74980802182108,207.1699700318277,295.2534213545732,252.03786436468363,1.0076258059493404,1.5429730172053795,4.090368747711182e-06,0.0
omol25_train_4m,omol25_low,colabfit,OMol25_train_4M_data0016_18415,350,19152,9576,54.72,2.0,1.0,19152,9576,95760,47880,95760,95760,95760,95760,360.1860449416563,555.1531700184569,300.4566110903397,299.21587195713073,376.07735423371196,338.06803949410096,1.0041466354210875,1.5412956104625923,2.6226043701171875e-06,0.0
omol25_validation,omol25_low,colabfit,OMol25_validation_data0012_18589,350,17972,8986,51.348571428571425,2.0,1.0,17972,8986,89860,44930,89860,89860,89860,89860,354.2957640020177,528.4010650357231,281.500045908615,279.8985190456733,360.1282264920883,319.8962857131846,1.0057218125640757,1.4914123134498272,3.337860107421875e-06,0.0
oc20_s2ef_train_2m,oc20,oc20_like,frame27,225,10738,5369,47.724444444444444,2.0,1.0,10738,5369,53690,26845,53690,53690,53690,53690,257.83967308234423,379.7795349964872,171.55341000761837,169.55057298764586,261.28179085208103,215.29004904441535,1.0118126231287843,1.4729290122672472,8.642673492431641e-07,0.0
oc20_s2ef_val_id,oc20,colabfit,OC20_S2EF_val_id__file_0049__config_3636,225,15230,7615,67.68888888888888,2.0,1.0,15230,7615,76150,38075,76150,76150,76150,76150,311.93259404972196,470.9473190596327,239.16654591448605,236.2088510999456,323.61258568707854,279.0233575855382,1.012521524069769,1.5097727138593406,1.7881393432617188e-06,0.0
oc20_s2ef_val_ood_ads,oc20,colabfit,OC20_S2EF_val_ood_ads__file_0071__config_1575,225,6686,3343,29.715555555555557,2.0,1.0,6686,3343,33430,16715,33430,33430,33430,33430,190.4498840449378,292.412627954036,110.82491301931441,107.77116601821035,206.67909883195534,154.1306241066195,1.0283354733360504,1.5353783459644401,1.0207295417785645e-06,0.0
oc20_s2ef_val_ood_cat,oc20,colabfit,OC20_S2EF_val_ood_cat__file_0023__config_854,225,10270,5135,45.644444444444446,2.0,1.0,10270,5135,51350,25675,51350,51350,51350,51350,238.70090302079916,377.74339504539967,164.27336900960654,162.4150889692828,255.05502703599632,207.75165029335767,1.0114415480243661,1.5824967156177245,8.381903171539307e-07,0.0
oc20_s2ef_val_ood_both,oc20,colabfit,OC20_S2EF_val_ood_both__file_0113__config_496,223,11486,5743,51.506726457399104,2.0,1.0,11486,5743,57430,28715,57430,57430,57430,57430,263.7124030152336,403.5955930594355,182.5109359342605,180.41382892988622,270.97823513904586,225.55024926550686,1.0116238706135396,1.5304384186894746,1.7210841178894043e-06,0.0
oc22_s2ef_train,oc22,colabfit,s2ef_train_0,228,14238,7119,62.44736842105263,2.0,1.0,14238,7119,71190,35595,71190,71190,71190,71190,337.0618879562244,461.3528809277341,223.99611899163574,221.79590293671936,312.67758294707164,265.86596267297864,1.009920003146064,1.3687482845513874,2.2798776626586914e-06,0.0
oc22_s2ef_val_id,oc22,colabfit,s2ef_val_id_0,200,11704,5852,58.52,2.0,1.0,11704,5852,58520,29260,58520,58520,58520,58520,267.56296295206994,409.1976589988917,187.45425203815103,185.25803403463215,275.49117928138,230.99038914078847,1.0118549136881605,1.5293509029954702,7.62939453125e-06,0.0
oc22_s2ef_val_ood,oc22,colabfit,is2re_val_ood_43,216,18264,9132,84.55555555555556,2.0,1.0,18264,9132,91320,45660,91320,91320,91320,91320,358.6953110061586,546.8269009143114,287.59215504396707,285.77717300504446,364.80078897438943,325.68691701162606,1.0063510392374502,1.524488567693941,1.7583370208740234e-06,6.103515625e-05
oc20_s2ef_train_20m,oc20,colabfit,OC20_S2EF_train_20M__file_0444__config_1055,225,8260,4130,36.71111111111111,2.0,1.0,8260,4130,41300,20650,41300,41300,41300,41300,260.3238329757005,352.3446039762348,133.90556699596345,129.44709497969598,227.07384234527126,176.0299313114956,1.0344424262048275,1.3534857717354054,1.043081283569336e-06,0.0
omol25_train_neutral,omol25_low,colabfit,OMol25_train_neutral_data0063_395425,181,9926,4963,54.83977900552486,2.0,1.0,9926,4963,49630,24815,49630,49630,49630,49630,250.5931929918006,368.5325450496748,158.3536259131506,155.73937294539064,249.23812800552696,201.53308840235695,1.0167860761111234,1.4706406852070126,1.33514404296875e-05,0.0
