system,case,repeat,mode,builder,policy,rank,nedges,npairs,pair_metadata_total_ms,pair_metadata_build_ms,model_inference_ms,compute_total_ms
bulk_small,baseline,0,serial,upstream,baseline,0,928,0,0.0,0.0,106.313932,214.581917
bulk_small,baseline,1,serial,upstream,baseline,0,928,0,0.0,0.0,120.911415,195.666588
bulk_small,baseline,2,serial,upstream,baseline,0,928,0,0.0,0.0,113.41115,185.972237
bulk_small,baseline,3,serial,upstream,baseline,0,928,0,0.0,0.0,111.832465,182.658774
bulk_small,baseline,4,serial,upstream,baseline,0,928,0,0.0,0.0,113.25944,185.66588
bulk_small,baseline,5,serial,upstream,baseline,0,928,0,0.0,0.0,115.831145,217.810209
bulk_small,baseline,6,serial,upstream,baseline,0,928,0,0.0,0.0,122.595673,195.318565
bulk_small,baseline,7,serial,upstream,baseline,0,928,0,0.0,0.0,108.764696,180.966081
bulk_small,baseline,8,serial,upstream,baseline,0,928,0,0.0,0.0,117.889709,187.696876
bulk_small,baseline,9,serial,upstream,baseline,0,928,0,0.0,0.0,123.33943,206.542651
bulk_small,baseline,10,serial,upstream,baseline,0,928,0,0.0,0.0,119.115674,190.734078
bulk_small,baseline,11,serial,upstream,baseline,0,928,0,0.0,0.0,101.119191,173.737214
bulk_small,baseline,12,serial,upstream,baseline,0,928,0,0.0,0.0,112.443657,186.564687
bulk_small,baseline,13,serial,upstream,baseline,0,928,0,0.0,0.0,106.194244,176.177485
bulk_small,baseline,14,serial,upstream,baseline,0,928,0,0.0,0.0,111.65216,182.055092
bulk_small,baseline,15,serial,upstream,baseline,0,928,0,0.0,0.0,103.819057,174.090362
bulk_small,baseline,16,serial,upstream,baseline,0,928,0,0.0,0.0,114.164258,186.31132
bulk_small,baseline,17,serial,upstream,baseline,0,928,0,0.0,0.0,121.94548,193.864264
bulk_small,baseline,18,serial,upstream,baseline,0,928,0,0.0,0.0,100.138005,174.756054
bulk_small,baseline,19,serial,upstream,baseline,0,928,0,0.0,0.0,107.193866,179.231969
bulk_small,baseline,20,serial,upstream,baseline,0,928,0,0.0,0.0,119.384673,190.54186
bulk_small,baseline,21,serial,upstream,baseline,0,928,0,0.0,0.0,100.672766,170.638826
bulk_small,baseline,22,serial,upstream,baseline,0,928,0,0.0,0.0,100.546441,172.965058
bulk_small,baseline,23,serial,upstream,baseline,0,928,0,0.0,0.0,101.679133,174.062292
bulk_small,baseline,24,serial,upstream,baseline,0,928,0,0.0,0.0,109.786318,181.459131
bulk_small,baseline,25,serial,upstream,baseline,0,928,0,0.0,0.0,114.638194,212.114272
bulk_small,baseline,26,serial,upstream,baseline,0,928,0,0.0,0.0,99.839093,170.335191
bulk_small,baseline,27,serial,upstream,baseline,0,928,0,0.0,0.0,100.655473,171.885357
bulk_small,baseline,28,serial,upstream,baseline,0,928,0,0.0,0.0,122.95223,195.402407
bulk_small,baseline,29,serial,upstream,baseline,0,928,0,0.0,0.0,118.806411,190.793592
bulk_small,geometry_only_legacy,0,serial,legacy,geometry_only,0,928,464,0.437653,0.366882,112.111017,171.935941
bulk_small,geometry_only_legacy,1,serial,legacy,geometry_only,0,928,464,0.44131,0.373623,102.75118,171.917787
bulk_small,geometry_only_legacy,2,serial,legacy,geometry_only,0,928,464,0.450719,0.370353,128.677602,191.062199
bulk_small,geometry_only_legacy,3,serial,legacy,geometry_only,0,928,464,0.436706,0.366851,106.671383,166.36707
bulk_small,geometry_only_legacy,4,serial,legacy,geometry_only,0,928,464,0.439029,0.370618,102.15065,163.388298
bulk_small,geometry_only_legacy,5,serial,legacy,geometry_only,0,928,464,0.43673,0.367001,102.613829,163.513673
bulk_small,geometry_only_legacy,6,serial,legacy,geometry_only,0,928,464,0.437063,0.366123,103.348098,164.276522
bulk_small,geometry_only_legacy,7,serial,legacy,geometry_only,0,928,464,0.432883,0.360206,103.768052,165.265988
bulk_small,geometry_only_legacy,8,serial,legacy,geometry_only,0,928,464,0.438358,0.367281,102.380481,163.854059
bulk_small,geometry_only_legacy,9,serial,legacy,geometry_only,0,928,464,0.438189,0.367605,102.589674,165.013503
bulk_small,geometry_only_legacy,10,serial,legacy,geometry_only,0,928,464,0.435247,0.365576,102.327358,170.544881
bulk_small,geometry_only_legacy,11,serial,legacy,geometry_only,0,928,464,0.436993,0.365927,103.557101,164.596614
bulk_small,geometry_only_legacy,12,serial,legacy,geometry_only,0,928,464,0.436082,0.366131,103.088995,164.658106
bulk_small,geometry_only_legacy,13,serial,legacy,geometry_only,0,928,464,0.439946,0.368684,102.259106,162.361596
bulk_small,geometry_only_legacy,14,serial,legacy,geometry_only,0,928,464,0.440489,0.370171,102.626597,162.468452
bulk_small,geometry_only_legacy,15,serial,legacy,geometry_only,0,928,464,0.439075,0.368437,102.394268,163.622032
bulk_small,geometry_only_legacy,16,serial,legacy,geometry_only,0,928,464,0.438386,0.369841,102.660007,163.654082
bulk_small,geometry_only_legacy,17,serial,legacy,geometry_only,0,928,464,0.432289,0.362144,107.27288,169.023888
bulk_small,geometry_only_legacy,18,serial,legacy,geometry_only,0,928,464,0.431155,0.362861,102.456042,190.338996
bulk_small,geometry_only_legacy,19,serial,legacy,geometry_only,0,928,464,0.437903,0.370252,102.149194,161.989025
bulk_small,geometry_only_legacy,20,serial,legacy,geometry_only,0,928,464,0.437412,0.367206,104.104971,165.866936
bulk_small,geometry_only_legacy,21,serial,legacy,geometry_only,0,928,464,0.439133,0.368117,103.307623,165.092391
bulk_small,geometry_only_legacy,22,serial,legacy,geometry_only,0,928,464,0.470857,0.39256,105.795764,168.347024
bulk_small,geometry_only_legacy,23,serial,legacy,geometry_only,0,928,464,0.451374,0.379804,107.467356,169.95239
bulk_small,geometry_only_legacy,24,serial,legacy,geometry_only,0,928,464,0.436405,0.368343,105.950628,167.316439
bulk_small,geometry_only_legacy,25,serial,legacy,geometry_only,0,928,464,0.430025,0.361607,102.336082,163.945889
bulk_small,geometry_only_legacy,26,serial,legacy,geometry_only,0,928,464,0.431982,0.363314,102.788543,164.730994
bulk_small,geometry_only_legacy,27,serial,legacy,geometry_only,0,928,464,0.444381,0.374851,102.437924,164.743773
bulk_small,geometry_only_legacy,28,serial,legacy,geometry_only,0,928,464,0.433606,0.362537,103.273878,166.243259
bulk_small,geometry_only_legacy,29,serial,legacy,geometry_only,0,928,464,0.484943,0.412561,111.888564,174.105023
bulk_small,geometry_only_upstream,0,serial,upstream,geometry_only,0,928,464,0.097179,0.02501,102.785387,164.712117
bulk_small,geometry_only_upstream,1,serial,upstream,geometry_only,0,928,464,0.095877,0.02702,107.132901,167.494105
bulk_small,geometry_only_upstream,2,serial,upstream,geometry_only,0,928,464,0.096797,0.024391,103.0576,164.460299
bulk_small,geometry_only_upstream,3,serial,upstream,geometry_only,0,928,464,0.100949,0.028499,108.001305,169.957622
bulk_small,geometry_only_upstream,4,serial,upstream,geometry_only,0,928,464,0.109532,0.02581,120.865591,180.048851
bulk_small,geometry_only_upstream,5,serial,upstream,geometry_only,0,928,464,0.099007,0.024146,105.963217,165.592253
bulk_small,geometry_only_upstream,6,serial,upstream,geometry_only,0,928,464,0.100257,0.029112,102.864987,162.345622
bulk_small,geometry_only_upstream,7,serial,upstream,geometry_only,0,928,464,0.092546,0.024859,102.65729,164.437504
bulk_small,geometry_only_upstream,8,serial,upstream,geometry_only,0,928,464,0.099944,0.022568,103.699175,165.512796
bulk_small,geometry_only_upstream,9,serial,upstream,geometry_only,0,928,464,0.095742,0.023984,102.613266,162.055445
bulk_small,geometry_only_upstream,10,serial,upstream,geometry_only,0,928,464,0.100105,0.030931,102.617773,164.009707
bulk_small,geometry_only_upstream,11,serial,upstream,geometry_only,0,928,464,0.099577,0.026496,102.965038,163.955331
bulk_small,geometry_only_upstream,12,serial,upstream,geometry_only,0,928,464,0.099424,0.025827,103.543672,167.978697
bulk_small,geometry_only_upstream,13,serial,upstream,geometry_only,0,928,464,0.096652,0.027,103.015216,164.971099
bulk_small,geometry_only_upstream,14,serial,upstream,geometry_only,0,928,464,0.10372,0.026155,104.315991,166.324259
bulk_small,geometry_only_upstream,15,serial,upstream,geometry_only,0,928,464,0.099094,0.024396,103.216492,165.48908
bulk_small,geometry_only_upstream,16,serial,upstream,geometry_only,0,928,464,0.104534,0.026683,104.022819,165.987981
bulk_small,geometry_only_upstream,17,serial,upstream,geometry_only,0,928,464,0.101757,0.029765,103.174191,169.746792
bulk_small,geometry_only_upstream,18,serial,upstream,geometry_only,0,928,464,0.093576,0.025643,102.341548,178.70648
bulk_small,geometry_only_upstream,19,serial,upstream,geometry_only,0,928,464,0.100343,0.025526,106.244813,193.136079
bulk_small,geometry_only_upstream,20,serial,upstream,geometry_only,0,928,464,0.098049,0.027985,107.388791,166.596593
bulk_small,geometry_only_upstream,21,serial,upstream,geometry_only,0,928,464,0.100528,0.024167,106.137694,166.707922
bulk_small,geometry_only_upstream,22,serial,upstream,geometry_only,0,928,464,0.101498,0.02832,103.091577,164.11155
bulk_small,geometry_only_upstream,23,serial,upstream,geometry_only,0,928,464,0.093895,0.02429,103.510253,164.877962
bulk_small,geometry_only_upstream,24,serial,upstream,geometry_only,0,928,464,0.094865,0.025261,102.834944,162.325506
bulk_small,geometry_only_upstream,25,serial,upstream,geometry_only,0,928,464,0.099357,0.025427,106.246994,188.454813
bulk_small,geometry_only_upstream,26,serial,upstream,geometry_only,0,928,464,0.095652,0.026354,103.97583,166.529224
bulk_small,geometry_only_upstream,27,serial,upstream,geometry_only,0,928,464,0.102897,0.031159,125.60678,210.815477
bulk_small,geometry_only_upstream,28,serial,upstream,geometry_only,0,928,464,0.120209,0.024484,108.881549,171.051973
bulk_small,geometry_only_upstream,29,serial,upstream,geometry_only,0,928,464,0.106712,0.034309,103.058654,165.404946
bulk_large,baseline,0,serial,upstream,baseline,0,12508,0,0.0,0.0,110.129397,180.040059
bulk_large,baseline,1,serial,upstream,baseline,0,12508,0,0.0,0.0,105.401995,175.57113
bulk_large,baseline,2,serial,upstream,baseline,0,12508,0,0.0,0.0,105.699472,196.666668
bulk_large,baseline,3,serial,upstream,baseline,0,12508,0,0.0,0.0,105.117577,173.417376
bulk_large,baseline,4,serial,upstream,baseline,0,12508,0,0.0,0.0,109.415601,179.802021
bulk_large,baseline,5,serial,upstream,baseline,0,12508,0,0.0,0.0,104.762598,172.473727
bulk_large,baseline,6,serial,upstream,baseline,0,12508,0,0.0,0.0,110.541934,180.898428
bulk_large,baseline,7,serial,upstream,baseline,0,12508,0,0.0,0.0,110.105473,179.035399
bulk_large,baseline,8,serial,upstream,baseline,0,12508,0,0.0,0.0,110.083868,178.838855
bulk_large,baseline,9,serial,upstream,baseline,0,12508,0,0.0,0.0,109.358416,178.695319
bulk_large,baseline,10,serial,upstream,baseline,0,12508,0,0.0,0.0,109.634117,182.22557
bulk_large,baseline,11,serial,upstream,baseline,0,12508,0,0.0,0.0,105.690727,173.97416
bulk_large,baseline,12,serial,upstream,baseline,0,12508,0,0.0,0.0,105.621711,174.772517
bulk_large,baseline,13,serial,upstream,baseline,0,12508,0,0.0,0.0,105.516077,203.93521
bulk_large,baseline,14,serial,upstream,baseline,0,12508,0,0.0,0.0,105.533663,175.802445
bulk_large,baseline,15,serial,upstream,baseline,0,12508,0,0.0,0.0,105.577247,177.070599
bulk_large,baseline,16,serial,upstream,baseline,0,12508,0,0.0,0.0,106.204887,198.152176
bulk_large,baseline,17,serial,upstream,baseline,0,12508,0,0.0,0.0,113.816058,184.009522
bulk_large,baseline,18,serial,upstream,baseline,0,12508,0,0.0,0.0,106.0732,192.018646
bulk_large,baseline,19,serial,upstream,baseline,0,12508,0,0.0,0.0,105.883205,173.673375
bulk_large,baseline,20,serial,upstream,baseline,0,12508,0,0.0,0.0,105.667188,175.598924
bulk_large,baseline,21,serial,upstream,baseline,0,12508,0,0.0,0.0,108.461349,189.251828
bulk_large,baseline,22,serial,upstream,baseline,0,12508,0,0.0,0.0,105.671861,173.256579
bulk_large,baseline,23,serial,upstream,baseline,0,12508,0,0.0,0.0,108.155638,182.122642
bulk_large,baseline,24,serial,upstream,baseline,0,12508,0,0.0,0.0,105.786784,176.028972
bulk_large,baseline,25,serial,upstream,baseline,0,12508,0,0.0,0.0,108.733727,179.12592
bulk_large,baseline,26,serial,upstream,baseline,0,12508,0,0.0,0.0,106.368042,176.533814
bulk_large,baseline,27,serial,upstream,baseline,0,12508,0,0.0,0.0,104.705382,172.863533
bulk_large,baseline,28,serial,upstream,baseline,0,12508,0,0.0,0.0,105.896446,175.429211
bulk_large,baseline,29,serial,upstream,baseline,0,12508,0,0.0,0.0,111.593469,180.894116
bulk_large,geometry_only_legacy,0,serial,legacy,geometry_only,0,12508,6254,4.650456,4.532135,106.562507,171.693685
bulk_large,geometry_only_legacy,1,serial,legacy,geometry_only,0,12508,6254,4.617138,4.513125,107.609728,171.404545
bulk_large,geometry_only_legacy,2,serial,legacy,geometry_only,0,12508,6254,4.69993,4.589616,106.977644,172.011353
bulk_large,geometry_only_legacy,3,serial,legacy,geometry_only,0,12508,6254,4.772882,4.661956,113.58004,191.01133
bulk_large,geometry_only_legacy,4,serial,legacy,geometry_only,0,12508,6254,4.684317,4.572369,112.069595,178.092523
bulk_large,geometry_only_legacy,5,serial,legacy,geometry_only,0,12508,6254,4.572987,4.464037,112.672932,174.922143
bulk_large,geometry_only_legacy,6,serial,legacy,geometry_only,0,12508,6254,4.596888,4.488764,107.345722,169.855727
bulk_large,geometry_only_legacy,7,serial,legacy,geometry_only,0,12508,6254,4.596562,4.486269,107.842007,173.132226
bulk_large,geometry_only_legacy,8,serial,legacy,geometry_only,0,12508,6254,4.580509,4.470024,108.300041,171.734282
bulk_large,geometry_only_legacy,9,serial,legacy,geometry_only,0,12508,6254,4.575659,4.465063,112.652242,176.596961
bulk_large,geometry_only_legacy,10,serial,legacy,geometry_only,0,12508,6254,4.579611,4.468664,113.301246,176.174119
bulk_large,geometry_only_legacy,11,serial,legacy,geometry_only,0,12508,6254,4.652439,4.537937,107.501828,172.996287
bulk_large,geometry_only_legacy,12,serial,legacy,geometry_only,0,12508,6254,4.740167,4.632247,108.350464,171.750414
bulk_large,geometry_only_legacy,13,serial,legacy,geometry_only,0,12508,6254,4.625314,4.511286,110.940714,175.997066
bulk_large,geometry_only_legacy,14,serial,legacy,geometry_only,0,12508,6254,4.622502,4.494434,113.685561,178.519616
bulk_large,geometry_only_legacy,15,serial,legacy,geometry_only,0,12508,6254,4.577979,4.46405,107.291833,172.459529
bulk_large,geometry_only_legacy,16,serial,legacy,geometry_only,0,12508,6254,4.589685,4.480974,108.863157,173.9111
bulk_large,geometry_only_legacy,17,serial,legacy,geometry_only,0,12508,6254,4.665717,4.555714,112.332179,176.507606
bulk_large,geometry_only_legacy,18,serial,legacy,geometry_only,0,12508,6254,4.687008,4.571631,107.178599,173.164974
bulk_large,geometry_only_legacy,19,serial,legacy,geometry_only,0,12508,6254,4.580724,4.476509,108.027417,173.08628
bulk_large,geometry_only_legacy,20,serial,legacy,geometry_only,0,12508,6254,4.594249,4.493433,107.28869,174.035263
bulk_large,geometry_only_legacy,21,serial,legacy,geometry_only,0,12508,6254,4.699449,4.592297,108.055808,173.320611
bulk_large,geometry_only_legacy,22,serial,legacy,geometry_only,0,12508,6254,4.604242,4.489974,113.140462,178.846207
bulk_large,geometry_only_legacy,23,serial,legacy,geometry_only,0,12508,6254,4.693009,4.545196,107.484021,172.6141
bulk_large,geometry_only_legacy,24,serial,legacy,geometry_only,0,12508,6254,4.662461,4.54645,110.934097,174.856843
bulk_large,geometry_only_legacy,25,serial,legacy,geometry_only,0,12508,6254,4.598758,4.491667,108.307376,173.383462
bulk_large,geometry_only_legacy,26,serial,legacy,geometry_only,0,12508,6254,4.608014,4.505189,110.502523,175.008585
bulk_large,geometry_only_legacy,27,serial,legacy,geometry_only,0,12508,6254,4.700068,4.57133,107.454307,172.209902
bulk_large,geometry_only_legacy,28,serial,legacy,geometry_only,0,12508,6254,4.602431,4.493999,110.307829,195.594263
bulk_large,geometry_only_legacy,29,serial,legacy,geometry_only,0,12508,6254,4.636655,4.52076,107.111232,172.545778
bulk_large,geometry_only_upstream,0,serial,upstream,geometry_only,0,12508,6254,0.313747,0.083312,111.625534,173.520664
bulk_large,geometry_only_upstream,1,serial,upstream,geometry_only,0,12508,6254,0.310394,0.081758,107.958483,167.074283
bulk_large,geometry_only_upstream,2,serial,upstream,geometry_only,0,12508,6254,0.311112,0.087311,109.036204,170.56951
bulk_large,geometry_only_upstream,3,serial,upstream,geometry_only,0,12508,6254,0.333548,0.088151,108.758697,170.537141
bulk_large,geometry_only_upstream,4,serial,upstream,geometry_only,0,12508,6254,0.32076,0.080804,107.984131,171.859979
bulk_large,geometry_only_upstream,5,serial,upstream,geometry_only,0,12508,6254,0.313133,0.084741,106.502855,167.904757
bulk_large,geometry_only_upstream,6,serial,upstream,geometry_only,0,12508,6254,0.308977,0.080567,107.91952,166.720835
bulk_large,geometry_only_upstream,7,serial,upstream,geometry_only,0,12508,6254,0.327093,0.084091,108.376136,168.955689
bulk_large,geometry_only_upstream,8,serial,upstream,geometry_only,0,12508,6254,0.325261,0.081321,107.088512,168.789814
bulk_large,geometry_only_upstream,9,serial,upstream,geometry_only,0,12508,6254,0.316857,0.080286,107.409223,169.167622
bulk_large,geometry_only_upstream,10,serial,upstream,geometry_only,0,12508,6254,0.308624,0.080307,108.09332,189.316292
bulk_large,geometry_only_upstream,11,serial,upstream,geometry_only,0,12508,6254,0.305917,0.080257,112.886606,172.493927
bulk_large,geometry_only_upstream,12,serial,upstream,geometry_only,0,12508,6254,0.301428,0.083227,107.747835,168.453393
bulk_large,geometry_only_upstream,13,serial,upstream,geometry_only,0,12508,6254,0.329253,0.086989,108.746423,214.380504
bulk_large,geometry_only_upstream,14,serial,upstream,geometry_only,0,12508,6254,0.332608,0.09062,113.377886,175.168805
bulk_large,geometry_only_upstream,15,serial,upstream,geometry_only,0,12508,6254,0.313746,0.089441,107.689211,190.609058
bulk_large,geometry_only_upstream,16,serial,upstream,geometry_only,0,12508,6254,0.309127,0.083585,108.636689,173.507491
bulk_large,geometry_only_upstream,17,serial,upstream,geometry_only,0,12508,6254,0.308269,0.082041,112.005567,177.967263
bulk_large,geometry_only_upstream,18,serial,upstream,geometry_only,0,12508,6254,0.306131,0.081308,108.009902,169.092874
bulk_large,geometry_only_upstream,19,serial,upstream,geometry_only,0,12508,6254,0.303065,0.082882,107.30214,169.284092
bulk_large,geometry_only_upstream,20,serial,upstream,geometry_only,0,12508,6254,0.311741,0.083334,107.627719,166.466095
bulk_large,geometry_only_upstream,21,serial,upstream,geometry_only,0,12508,6254,0.320903,0.080885,107.433737,166.338213
bulk_large,geometry_only_upstream,22,serial,upstream,geometry_only,0,12508,6254,0.334259,0.092475,108.475203,170.083261
bulk_large,geometry_only_upstream,23,serial,upstream,geometry_only,0,12508,6254,0.343074,0.101643,109.109795,170.521257
bulk_large,geometry_only_upstream,24,serial,upstream,geometry_only,0,12508,6254,0.324762,0.081845,109.147092,170.475053
bulk_large,geometry_only_upstream,25,serial,upstream,geometry_only,0,12508,6254,0.324608,0.081516,107.698295,168.588802
bulk_large,geometry_only_upstream,26,serial,upstream,geometry_only,0,12508,6254,0.310624,0.082938,108.078524,169.521104
bulk_large,geometry_only_upstream,27,serial,upstream,geometry_only,0,12508,6254,0.298152,0.085204,108.426842,169.062338
bulk_large,geometry_only_upstream,28,serial,upstream,geometry_only,0,12508,6254,0.465969,0.082694,112.63356,174.336309
bulk_large,geometry_only_upstream,29,serial,upstream,geometry_only,0,12508,6254,0.322951,0.080414,111.599978,173.832912
