dataset,sample_id,modal,natoms,case,resolved_policy,n_warmup,n_repeat,device,mean_ms,std_ms,median_ms,p95_ms,warmup_mean_ms,warmup_std_ms,abs_energy_diff_vs_baseline,max_abs_force_diff_vs_baseline
ani1ccx,055:0,spice,55,sevennet_baseline,baseline,3,30,cuda,31.503597980675597,0.29136525588039236,31.433905009180307,32.087040366604924,219.9255533826848,164.13535804983658,0.0,1.2516975402832031e-06
ani1ccx,055:0,spice,55,sevennet_geometry_only,geometry_only,3,30,cuda,32.034811711249255,0.2680706533934413,31.913629034534097,32.52173084765673,214.55486274013916,167.55218034198882,0.0,1.9073486328125e-06
ani1x,ani1x-release_416625,spice,63,sevennet_baseline,baseline,3,30,cuda,31.193397209669154,0.2639929461132996,31.095418031327426,31.7116514663212,112.99017467536032,40.98843477742883,0.0,1.3709068298339844e-06
ani1x,ani1x-release_416625,spice,63,sevennet_geometry_only,geometry_only,3,30,cuda,31.758344476111233,0.30016820854986087,31.70620696619153,32.29343219427392,114.84219793540736,40.737855107813516,0.0,1.9073486328125e-06
iso17,iso17,spice,19,sevennet_baseline,baseline,3,30,cuda,29.4515020136411,0.18632527506482022,29.41150846891105,29.81596423778683,113.48751909099519,40.70681339899447,0.0,1.0579824447631836e-06
iso17,iso17,spice,19,sevennet_geometry_only,geometry_only,3,30,cuda,30.282967056458194,0.5052612467043713,30.092205968685448,31.249942362774163,113.72045800089836,40.331388897734755,0.0,1.0728836059570312e-06
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_baseline,baseline,3,30,cuda,29.601589489417773,0.19610952534318873,29.64173792861402,29.851586231961846,113.1896764660875,40.539840851475944,0.0,9.5367431640625e-07
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,sevennet_geometry_only,geometry_only,3,30,cuda,30.1890762289986,0.5168360422258303,30.01130756456405,31.2294649425894,114.43409207277,40.68624535209889,0.0,1.7285346984863281e-06
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_baseline,baseline,3,30,cuda,29.59902728907764,0.34142081220608117,29.528164537623525,30.07136690430343,113.47623642844458,40.645360604431175,0.0,1.9073486328125e-06
md22_at_at,md22_AT-AT_12521,spice,60,sevennet_geometry_only,geometry_only,3,30,cuda,29.98077884161224,0.2002425972649629,29.995872057043016,30.203339131549,114.09314450186987,40.68318451069981,0.0,2.86102294921875e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_baseline,baseline,3,30,cuda,55.007344290303685,0.2655908004227465,54.94182195980102,55.384757358115166,129.20325784943998,47.20758998125275,0.0,1.6689300537109375e-06
md22_at_at_cg_cg,md22_AT-AT-CG-CG_3798,spice,118,sevennet_geometry_only,geometry_only,3,30,cuda,55.76762359123677,0.17200239762861388,55.717728566378355,56.10136114992201,130.48338641722998,47.217965364205085,0.0,2.5480985641479492e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_baseline,baseline,3,30,cuda,104.21181734806548,0.2953759615888487,104.18991150800139,104.84524745261297,174.07194462915263,45.114729412252075,0.0,1.6987323760986328e-06
md22_buckyball_catcher,md22_buckyball-catcher_1114,spice,148,sevennet_geometry_only,geometry_only,3,30,cuda,105.21889642501871,0.23423571865880877,105.20129650831223,105.62831702409312,176.18272034451365,45.485644385347946,0.0,3.0994415283203125e-06
md22_dha,md22_DHA_45597,spice,56,sevennet_baseline,baseline,3,30,cuda,29.688049697627623,0.4819683366594839,29.45891546551138,30.639722594060004,114.31293965627749,41.33094835131438,0.0,9.5367431640625e-07
md22_dha,md22_DHA_45597,spice,56,sevennet_geometry_only,geometry_only,3,30,cuda,29.95319313680132,0.1579068905301601,29.935432015918195,30.19513718318194,113.94607299007475,40.45671752278998,0.0,1.7285346984863281e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_baseline,baseline,3,30,cuda,367.59222746671486,0.1799312007662994,367.5214855466038,367.8783481242135,417.3744890528421,32.49009789431501,0.0,2.1457672119140625e-06
md22_double_walled_nanotube,md22_double-walled_nanotube_1987,spice,370,sevennet_geometry_only,geometry_only,3,30,cuda,372.02451871708035,0.26194438894628774,371.962575474754,372.53121556714177,421.1109646906455,31.653765246510854,0.0,3.5762786865234375e-06
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_baseline,baseline,3,30,cuda,51.894765657683216,0.20318317811814143,51.8959533656016,52.13714857818559,125.96399569883943,46.64667251376672,0.0,1.1920928955078125e-06
md22_stachyose,md22_stachyose_10546,spice,87,sevennet_geometry_only,geometry_only,3,30,cuda,52.73565351186941,0.2663973021880316,52.66806960571557,53.18455636734143,127.14109096365671,46.94435949319226,0.0,1.4901161193847656e-06
mptrj,mp-1204603,mpa,444,sevennet_baseline,baseline,3,30,cuda,425.5722912649314,0.11662375881630348,425.59197591617703,425.69186984328553,471.6732499655336,29.65675365677314,0.0,8.940696716308594e-07
mptrj,mp-1204603,mpa,444,sevennet_geometry_only,geometry_only,3,30,cuda,430.63195664435625,0.1621110495371466,430.6235840776935,430.85471026133746,476.39100765809417,28.983433639101502,0.0,1.989305019378662e-06
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_baseline,baseline,3,30,cuda,125.69860833852242,0.22610556136049836,125.660095596686,126.12486140569672,194.2913366947323,44.184371227729116,6.103515625e-05,5.960464477539062e-07
oc20_s2ef_train_20m,OC20_S2EF_train_20M__file_0444__config_1055,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,127.11754569318146,0.19085487397759637,127.13492847979069,127.46628867462277,198.92913095342615,45.56138237525265,0.0,1.1427327990531921e-06
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_baseline,baseline,3,30,cuda,163.50460357498378,0.14169185124617084,163.5246960213408,163.72140693711117,229.68154462675253,42.53056163841431,0.0,5.960464477539062e-07
oc20_s2ef_train_2m,frame27,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,165.5365243786946,0.16547080259963676,165.56509747169912,165.72991741122678,231.10605496913195,41.94511754643295,0.0,7.934868335723877e-07
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_baseline,baseline,3,30,cuda,230.8716060128063,0.47533467294204834,230.7939789025113,231.03220105404034,291.613848026221,38.86437506148564,0.0,1.1026859283447266e-06
oc20_s2ef_val_id,OC20_S2EF_val_id__file_0049__config_3636,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,233.71218570973724,0.2878896189361722,233.65737008862197,234.1640044702217,294.56266900524497,38.87767757316519,0.0,2.205371856689453e-06
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_baseline,baseline,3,30,cuda,102.72656773061802,0.16603784762238363,102.77581005357206,102.92271310463548,173.50470003051063,45.057322398742976,0.0,6.556510925292969e-07
oc20_s2ef_val_ood_ads,OC20_S2EF_val_ood_ads__file_0071__config_1575,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,103.95463144717117,0.1589706194651811,103.97300904151052,104.19713518349454,174.87784762245914,45.342199992906885,0.0,1.0132789611816406e-06
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_baseline,baseline,3,30,cuda,174.3932388102015,0.15283220924931862,174.37061853706837,174.64545106049627,239.12643974957368,41.526929435808114,0.0,9.834766387939453e-07
oc20_s2ef_val_ood_both,OC20_S2EF_val_ood_both__file_0113__config_496,oc20,223,sevennet_geometry_only,geometry_only,3,30,cuda,176.60148795694113,0.2633968765522446,176.48314661346376,177.03892964636907,241.52684638587138,41.36363781709659,0.0,1.7881393432617188e-06
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_baseline,baseline,3,30,cuda,156.20095712753633,0.2841369218512325,156.13941894844174,156.77893527317792,222.28319896385074,42.25428116529363,0.0,3.5762786865234375e-07
oc20_s2ef_val_ood_cat,OC20_S2EF_val_ood_cat__file_0023__config_854,oc20,225,sevennet_geometry_only,geometry_only,3,30,cuda,158.0439614908149,0.22085781950988925,158.02047192119062,158.48117002751678,224.72721904826662,42.421148549867645,0.0,9.238719940185547e-07
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_baseline,baseline,3,30,cuda,216.28689307253808,0.1010631404492708,216.27630048897117,216.45989060634747,277.67866508414346,39.37160147889075,0.0,1.1920928955078125e-06
oc22_s2ef_train,s2ef_train_0,oc22,228,sevennet_geometry_only,geometry_only,3,30,cuda,218.61789834996065,0.19908512987411217,218.5947890393436,218.97125685354695,280.9636453942706,39.66608361847008,0.0,1.996755599975586e-06
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_baseline,baseline,3,30,cuda,179.22637752878168,0.1647342632702516,179.2080254526809,179.573145986069,244.12608767549196,41.691257650278004,0.0,1.1444091796875e-05
oc22_s2ef_val_id,s2ef_val_id_0,oc22,200,sevennet_geometry_only,geometry_only,3,30,cuda,181.3476067579662,0.2928770598844261,181.29842705093324,182.0252702338621,246.00962433032691,41.55857973739852,0.0,7.62939453125e-06
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_baseline,baseline,3,30,cuda,280.2864677350347,0.15829693517757276,280.2644239272922,280.53693323163316,336.83121266464394,36.137447951596904,0.0,8.940696716308594e-07
oc22_s2ef_val_ood,is2re_val_ood_43,oc22,216,sevennet_geometry_only,geometry_only,3,30,cuda,283.8040851599847,0.33271100551314475,283.64648309070617,284.38445263309404,340.06927666875225,36.03310811056419,0.0,1.7508864402770996e-06
omat24_1m_official,train:106751,omat24,160,sevennet_baseline,baseline,3,30,cuda,232.48456125923744,0.14397394840243327,232.46168287005275,232.7566781663336,292.8953845985234,38.79329147574169,0.0,0.00018310546875
omat24_1m_official,train:106751,omat24,160,sevennet_geometry_only,geometry_only,3,30,cuda,235.4198444634676,0.24071565590914745,235.40477198548615,235.74776659952477,296.26644402742386,38.67339327645412,0.0,0.0001220703125
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_baseline,baseline,3,30,cuda,293.35616984559846,0.16326399770681654,293.35708543658257,293.5963367111981,348.2199723366648,35.245638079604646,0.0,1.5795230865478516e-06
omol25_train_4m,OMol25_train_4M_data0016_18415,omol25_low,350,sevennet_geometry_only,geometry_only,3,30,cuda,296.8213089508936,0.16654949318616125,296.8352680327371,297.02189046656713,351.5573409385979,35.18648773286097,0.0,2.8312206268310547e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_baseline,baseline,3,30,cuda,150.16477313668778,0.1558607610503983,150.19593108445406,150.39793003816158,216.78676021595797,42.683754440412336,0.0,7.62939453125e-06
omol25_train_neutral,OMol25_train_neutral_data0063_395425,omol25_low,181,sevennet_geometry_only,geometry_only,3,30,cuda,152.02721908378103,0.22353267139805444,152.0138280466199,152.35997126437724,218.94966927357018,42.84994242187305,0.0,1.52587890625e-05
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_baseline,baseline,3,30,cuda,274.2365039496993,0.2054621997502051,274.2065895581618,274.6347065665759,331.55119729538757,36.76045079286576,0.0,2.384185791015625e-06
omol25_validation,OMol25_validation_data0012_18589,omol25_low,350,sevennet_geometry_only,geometry_only,3,30,cuda,277.808187281092,0.953869317831312,277.44109195191413,279.7219248255715,335.09597562563914,37.207393118712496,0.0,2.7418136596679688e-06
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_baseline,baseline,3,30,cuda,29.711676264802616,0.7446636517505695,29.509192099794745,31.1523767770268,112.93621128425002,40.3086245592433,0.0,1.2386590242385864e-07
phonondb_pbe,phonondb_pbe.extxyz:0,matpes_r2scan,8,sevennet_geometry_only,geometry_only,3,30,cuda,29.970964859239757,0.17667635533737583,29.926768387667835,30.366603285074234,113.32184200485547,40.3257562043871,0.0,7.708138127782149e-08
qm9_hf,0_3057,qcml,29,sevennet_baseline,baseline,3,30,cuda,29.55186665058136,0.13680823238177092,29.53598299063742,29.793722357135266,113.51612567280729,40.65977826111497,0.0,7.674098014831543e-07
qm9_hf,0_3057,qcml,29,sevennet_geometry_only,geometry_only,3,30,cuda,30.01928561522315,0.15246805686889178,30.028800014406443,30.284524348098785,113.90504706650972,40.58332089905898,0.0,9.015202522277832e-07
rmd17,rmd17_azobenzene,spice,24,sevennet_baseline,baseline,3,30,cuda,29.5005994848907,0.1478600444166269,29.51681148260832,29.74633282283321,112.77183028869331,40.145446166552844,0.0,9.5367431640625e-07
rmd17,rmd17_azobenzene,spice,24,sevennet_geometry_only,geometry_only,3,30,cuda,30.019226064905524,0.18239099160497055,29.98710493557155,30.391190748196095,113.65124265042444,40.45889144494683,0.0,1.4901161193847656e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_baseline,baseline,3,30,cuda,152.0152042309443,0.16511511732491058,152.02927798964083,152.30966476956382,218.64311575579146,42.7389842316539,0.0001220703125,1.1920928955078125e-06
salex_train_official,alex_go_aao_005:4493,omat24,132,sevennet_geometry_only,geometry_only,3,30,cuda,153.88048199626306,0.18463487182252744,153.8915024138987,154.10946097690612,220.37837863899767,42.73147779317643,6.103515625e-05,1.6689300537109375e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_baseline,baseline,3,30,cuda,200.99349472050866,0.14075088293361718,200.98777138628066,201.20728778420016,264.0965512643258,40.465754768174456,0.0,1.8067657947540283e-06
salex_val_official,alex_go_aao_006:1039,omat24,128,sevennet_geometry_only,geometry_only,3,30,cuda,203.51513172499835,0.1679086307936028,203.51277338340878,203.84319722652435,266.91819067733985,40.37771224017594,0.0,3.7401914596557617e-06
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_baseline,baseline,3,30,cuda,30.800468265078962,0.22384815636080965,30.729814083315432,31.264395802281797,113.87923631506662,40.05274366641657,0.0,9.5367431640625e-07
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,spice,89,sevennet_geometry_only,geometry_only,3,30,cuda,31.165943791468937,0.19846102011942912,31.10338095575571,31.576346699148417,114.72313602765401,40.41968001075458,0.0,1.430511474609375e-06
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_baseline,baseline,3,30,cuda,34.57587415662905,0.35114583444128117,34.45244405884296,35.27613132027909,115.28649398436148,41.24747036761931,0.0,7.450580596923828e-07
wbm_initial,wbm_initial:23057,matpes_pbe,100,sevennet_geometry_only,geometry_only,3,30,cuda,35.327861085534096,0.8237064323165135,35.04163143225014,36.74615826457739,116.82949898143609,41.76093752403722,0.0,7.674098014831543e-07
